DATE_TIME,AC_POWER,IRRADIATION,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,hour,day,month,is_daytime
2020-05-15 00:00:00,0.0,0.0,25.184316133333333,22.8575074,0,15,5,0
2020-05-15 00:15:00,0.0,0.0,25.08458866666667,22.761667866666663,0,15,5,0
2020-05-15 00:30:00,0.0,0.0,24.935752600000004,22.59230553333333,0,15,5,0
2020-05-15 00:45:00,0.0,0.0,24.8461304,22.36085213333333,0,15,5,0
2020-05-15 01:00:00,0.0,0.0,24.621525357142858,22.165422642857145,1,15,5,0
2020-05-15 01:15:00,0.0,0.0,24.5360922,21.968570866666667,1,15,5,0
2020-05-15 01:30:00,0.0,0.0,24.638673866666664,22.352925666666668,1,15,5,0
2020-05-15 01:45:00,0.0,0.0,24.87302233333333,23.1609192,1,15,5,0
2020-05-15 02:00:00,0.0,0.0,24.936930466666663,23.026113,2,15,5,0
2020-05-15 02:15:00,0.0,0.0,25.0122476,23.343229266666665,2,15,5,0
2020-05-15 02:30:00,0.0,0.0,25.00514933333333,23.639459266666663,2,15,5,0
2020-05-15 02:45:00,0.0,0.0,24.993019533333328,24.0394858,2,15,5,0
2020-05-15 03:00:00,0.0,0.0,25.016309428571425,24.384135571428573,3,15,5,0
2020-05-15 03:15:00,0.0,0.0,24.985215266666664,24.35150773333333,3,15,5,0
2020-05-15 03:30:00,0.0,0.0,24.93773193333333,24.060296533333336,3,15,5,0
2020-05-15 03:45:00,0.0,0.0,24.87909953333333,23.709794133333336,3,15,5,0
2020-05-15 04:00:00,0.0,0.0,24.6789022,22.58994153333333,4,15,5,0
2020-05-15 04:15:00,0.0,0.0,24.3519308,21.78364253333333,4,15,5,0
2020-05-15 04:30:00,0.0,0.0,24.0626222,21.85252493333333,4,15,5,0
2020-05-15 04:45:00,0.0,0.0,24.013224200000003,22.306315,4,15,5,0
2020-05-15 05:00:00,0.0,0.0,24.1771058,22.551908466666664,5,15,5,0
2020-05-15 05:15:00,0.0,0.0,24.304888,22.979492071428577,5,15,5,0
2020-05-15 05:30:00,0.0,0.0,24.328727266666665,23.452380466666668,5,15,5,0
2020-05-15 05:45:00,0.0,0.0008627212413333,24.28921113333333,23.09669193333333,5,15,5,0
2020-05-15 06:00:00,4.329960317523809,0.0058869571866666,24.088446066666663,22.2067566,6,15,5,1
2020-05-15 06:15:00,28.25422335619048,0.0222816074666666,24.01163526666667,22.35345866666667,6,15,5,1
2020-05-15 06:30:00,67.28157467545454,0.0494097238666666,23.976731266666665,22.893282,6,15,5,1
2020-05-15 06:45:00,126.83855519545456,0.0953944536,24.21899,24.442443933333333,6,15,5,1
2020-05-15 07:00:00,184.21191558636363,0.1419404433333333,24.5373984,27.185652866666665,7,15,5,1
2020-05-15 07:15:00,198.57830086818183,0.1547126757142856,24.8159595,28.888477857142853,7,15,5,1
2020-05-15 07:30:00,194.3606872272727,0.1487991533333333,24.988789866666668,29.6056438,7,15,5,1
2020-05-15 07:45:00,197.8224837590909,0.1447934189333333,25.21618033333333,29.547110933333336,7,15,5,1
2020-05-15 08:00:00,289.34586038636365,0.2016386213333333,25.41951306666667,31.412544733333327,8,15,5,1
2020-05-15 08:15:00,454.63930195000006,0.3457076533333333,25.95908213333333,35.5287108,8,15,5,1
2020-05-15 08:30:00,499.8001352772727,0.4053485726666666,26.430782066666666,40.3180586,8,15,5,1
2020-05-15 08:45:00,412.7303571409091,0.3124267953333332,26.8318298,39.08195373333332,8,15,5,1
2020-05-15 09:00:00,736.8795454545455,0.6231526486666666,27.6209698,45.0092326,9,15,5,1
2020-05-15 09:15:00,440.5832792272727,0.3448840357142857,27.98836207142857,46.6177065,9,15,5,1
2020-05-15 09:30:00,341.4272727318182,0.2492484,27.516727866666667,39.136326,9,15,5,1
2020-05-15 09:45:00,717.8687499954546,0.5412059773333334,27.450107666666668,40.93057693333333,9,15,5,1
2020-05-15 10:00:00,813.4908279181818,0.670675372,28.632191866666663,52.5477356,10,15,5,1
2020-05-15 10:15:00,705.9977272727273,0.5722834766666666,28.768912733333337,47.633738,10,15,5,1
2020-05-15 10:30:00,574.9359902681819,0.4551483833333333,29.35144260000001,49.249723266666656,10,15,5,1
2020-05-15 10:45:00,504.16495129545456,0.3619616539999999,28.854707866666665,44.048325600000005,10,15,5,1
2020-05-15 11:00:00,860.7526947499999,0.6365608813333332,29.410819333333336,47.68545339999999,11,15,5,1
2020-05-15 11:15:00,712.8960768363636,0.5857872135714286,30.21606228571428,50.006988571428565,11,15,5,1
2020-05-15 11:30:00,691.2401785727272,0.5570693833333333,30.2870728,49.8413636,11,15,5,1
2020-05-15 11:45:00,745.5267857136364,0.4679868693333333,30.811049333333333,47.8363832,11,15,5,1
2020-05-15 12:00:00,693.2185606,0.5149625866666667,31.305375066666663,49.183583533333326,12,15,5,1
2020-05-15 12:15:00,930.7735389318182,0.7878660286666666,31.50729773333333,49.84449266666666,12,15,5,1
2020-05-15 12:30:00,879.1685064545454,0.6492476293333334,32.147684733333335,52.35325513333333,12,15,5,1
2020-05-15 12:45:00,930.4953463454544,0.761243312,32.39142040000001,50.631239933333326,12,15,5,1
2020-05-15 13:00:00,578.2671266227272,0.4160351014285714,32.622796071428574,49.610767714285714,13,15,5,1
2020-05-15 13:15:00,666.6357142863636,0.489243946,32.49706446666666,47.01116133333333,13,15,5,1
2020-05-15 13:30:00,781.1663149318182,0.574561224,32.52462140000001,46.66986293333333,13,15,5,1
2020-05-15 13:45:00,760.7610389772727,0.560985624,32.67847086666667,47.516884133333335,13,15,5,1
2020-05-15 14:00:00,988.5030032227272,0.7350834633333333,33.763185400000005,49.80390433333333,14,15,5,1
2020-05-15 14:15:00,1152.3884740454546,0.8936614913333333,34.13076993333335,55.030613,14,15,5,1
2020-05-15 14:30:00,635.8725487,0.466788824,34.08138426666667,54.51913673333334,14,15,5,1
2020-05-15 14:45:00,714.6843344227273,0.5421384957142857,33.69572221428571,47.618194642857134,14,15,5,1
2020-05-15 15:00:00,572.8984577954545,0.3988885433333333,33.89057606666666,46.02908119999999,15,15,5,1
2020-05-15 15:15:00,637.7739448045454,0.4472921486666666,34.043744000000004,44.28609193333333,15,15,5,1
2020-05-15 15:30:00,742.8599837590909,0.5651963973333332,34.40285233333333,46.7442812,15,15,5,1
2020-05-15 15:45:00,479.26209415,0.3462306933333333,34.430942666666674,43.9206158,15,15,5,1
2020-05-15 16:00:00,486.5465097409091,0.3581823699999999,34.38115033333334,43.332853333333325,16,15,5,1
