epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,442.255,0.09513,0.45052,0.87858,0.77638,0.82648,0.92465,0.90781,0.27676,0.78676,0.67327,0.0005941,0.0005941,0.0005941
43,454.122,0.09293,0.39145,0.8855,0.91137,0.76628,0.92182,0.91961,0.26468,0.90808,0.6364,0.0005842,0.0005842,0.0005842
44,465.716,0.095,0.40769,0.87569,0.92781,0.87504,0.95343,0.94183,0.19505,0.54805,0.58963,0.0005743,0.0005743,0.0005743
45,477.189,0.09368,0.44037,0.88205,0.90773,0.8662,0.95694,0.94074,0.21519,0.6244,0.58711,0.0005644,0.0005644,0.0005644
46,488.091,0.09237,0.40095,0.88494,0.86984,0.85135,0.94768,0.932,0.25001,0.60759,0.64667,0.0005545,0.0005545,0.0005545
47,499.89,0.08865,0.40839,0.8767,0.84895,0.8679,0.93442,0.91851,0.28286,0.69445,0.67253,0.0005446,0.0005446,0.0005446
48,510.322,0.08754,0.38931,0.87803,0.90149,0.85956,0.94036,0.93275,0.19996,0.69035,0.57879,0.0005347,0.0005347,0.0005347
49,522.164,0.08644,0.39517,0.88757,0.92647,0.8359,0.97222,0.95046,0.24841,0.55991,0.6315,0.0005248,0.0005248,0.0005248
50,532.848,0.08441,0.38257,0.87829,0.80812,0.90898,0.95374,0.93045,0.2322,0.61776,0.60945,0.0005149,0.0005149,0.0005149
51,543.553,0.08323,0.39169,0.89127,0.9159,0.83285,0.94456,0.93601,0.20164,0.62371,0.59334,0.000505,0.000505,0.000505
52,553.746,0.08063,0.37124,0.88181,0.90776,0.83539,0.9622,0.95405,0.23003,0.60274,0.59208,0.0004951,0.0004951,0.0004951
53,563.908,0.0823,0.36009,0.88166,0.84132,0.77664,0.9178,0.91075,0.19477,0.76154,0.57672,0.0004852,0.0004852,0.0004852
54,574.114,0.08199,0.35883,0.87868,0.83678,0.90353,0.94752,0.94052,0.18596,0.56335,0.55769,0.0004753,0.0004753,0.0004753
55,584.107,0.07865,0.36349,0.87697,0.78202,0.87959,0.93895,0.92072,0.20738,0.67575,0.60375,0.0004654,0.0004654,0.0004654
56,594.922,0.07632,0.35401,0.88373,0.89776,0.82102,0.94175,0.88741,0.20822,0.57576,0.61595,0.0004555,0.0004555,0.0004555
57,605.025,0.07548,0.34229,0.8785,0.85656,0.85357,0.93355,0.90505,0.23861,0.5513,0.63251,0.0004456,0.0004456,0.0004456
58,615.553,0.07656,0.32013,0.87042,0.87606,0.8819,0.94572,0.92634,0.23751,0.53673,0.60354,0.0004357,0.0004357,0.0004357
59,626.223,0.07595,0.32178,0.88086,0.82146,0.77974,0.8954,0.84589,0.23375,0.65587,0.62107,0.0004258,0.0004258,0.0004258
60,636.717,0.07166,0.31621,0.87516,0.83753,0.89162,0.93204,0.8983,0.26708,0.5752,0.68313,0.0004159,0.0004159,0.0004159
61,647.166,0.0719,0.32644,0.87614,0.83405,0.85677,0.93767,0.90591,0.27124,0.59239,0.66023,0.000406,0.000406,0.000406
62,658.18,0.0749,0.32021,0.87936,0.93837,0.84038,0.93487,0.91983,0.27826,0.57391,0.67138,0.0003961,0.0003961,0.0003961
63,669.294,0.07464,0.30683,0.86872,0.91167,0.84329,0.95256,0.94642,0.25871,0.53228,0.6611,0.0003862,0.0003862,0.0003862
64,680.189,0.07573,0.31071,0.87408,0.877,0.85072,0.95256,0.95118,0.18422,0.58892,0.57482,0.0003763,0.0003763,0.0003763
65,690.826,0.07182,0.30371,0.87682,0.8821,0.86226,0.95998,0.95202,0.21827,0.53291,0.6365,0.0003664,0.0003664,0.0003664
66,700.771,0.07302,0.30469,0.87532,0.87917,0.84765,0.93873,0.93311,0.18399,0.54579,0.58489,0.0003565,0.0003565,0.0003565
67,711.323,0.06658,0.28569,0.87362,0.89717,0.90056,0.94145,0.92782,0.24034,0.42017,0.67089,0.0003466,0.0003466,0.0003466
68,722.222,0.06939,0.28422,0.87828,0.90178,0.9189,0.96864,0.95815,0.17473,0.45259,0.58547,0.0003367,0.0003367,0.0003367
69,732.596,0.06847,0.28123,0.87116,0.85197,0.88346,0.95243,0.93654,0.19051,0.55059,0.60257,0.0003268,0.0003268,0.0003268
70,743.01,0.06513,0.28119,0.8718,0.88386,0.84574,0.93712,0.88926,0.21882,0.59925,0.61112,0.0003169,0.0003169,0.0003169
71,753.918,0.06608,0.27252,0.8814,0.8748,0.85249,0.94725,0.91976,0.17312,0.51232,0.56369,0.000307,0.000307,0.000307
72,764.31,0.06359,0.26996,0.87973,0.84407,0.92104,0.93953,0.92883,0.16637,0.58587,0.55859,0.0002971,0.0002971,0.0002971
